place_id,name,phone,website,rating,review_count,address,coordinates,reviews_preview
ChIJrXqG7k-sKIQRbqqW0dhPby8,MASCOTAS,+52 33 3632 8648,https://www.facebook.com/pages/Clinica-Veterinaria-MASCOTAS/422903361073896,4.4,1574,"Av 18 de Marzo 1895-A, Las Águilas, 45080 Zapopan, Jal., Mexico","20.626250799999998,-103.4156493","There was a long wait on a Sunday afternoon but when I did get back to see the doctor, he was excellent.  They did a thorough exam of my dog and answered my many questions patiently.  The final price with meds was half what I was expecting.   Very recommended | Always the best place to take my dog for a consult or a full bath.  Yo do have to make your bath reservations 1 week in advance because it’s almost always full | Good service, place is clean and good supply of things for your pets in the store. Medical attention is spot on, 4 years coming and love the attention"
ChIJk_ZBTAWyKIQR78hyOuTYslU,SuperVet Washington,+52 33 3650 0555,https://supervet.com.mx/,4.6,758,"Av. Washington 428, Ferrocarril, 44660 Guadalajara, Jal., Mexico","20.6550069,-103.3474307",Nice place you can fine anything you want ford your animals | Very good price | Super 👌
ChIJ8dgNBF-tKIQRA0l6lPXTR0o,UNICO REPTILES,+52 33 1820 4973,,4.4,52,"C. Colón 552, Mexicaltzingo, 44190 Guadalajara, Jal., Mexico","20.668328499999998,-103.35020519999999","Excellent place to acquire a pet, whether reptile, amphibian, etc. | I've always received excellent service in the store, and also through their social media.
The owner and staff are very friendly and have considerable experience.
They have a very good variety of reptiles and related products.
All their animals always appear to be in perfect condition, and I've never had the slightest problem with my purchases. | The place had a very intense smell like mine and the man in question was in a very bad mood."
ChIJ7SpV4vatKIQRGTuczlnA7xo,Veterinaria Zoo Mascotas,+52 33 1078 5981,,4.1,92,"Cóndor 1620, Morelos, 44910 Guadalajara, Jal., Mexico","20.6498514,-103.3626182","I received excellent service, and I did find what I was looking for: an anti-inflammatory ointment for horses and cows, large animals, but according to the doctor, it's the best for humans; it's called ""Mamisan Ointment"". | Terrible service, irresponsible, unprofessional and unethical. | I took my dog ​​to get a bath. It was expensive, but it was the closest option I had. She smelled like a soaked dog, worse than if I had bathed her at home. I went out on the road with my dog, and she smelled really bad. They put a cloth on her neck, and later I noticed that she had wounds underneath the cloth, which I can't believe since she has short hair, so she doesn't even need a haircut. They didn't trim her nails or wash her private parts. I wouldn't take her again. It's worth mentioning that she's a very calm, friendly, large breed dog."
ChIJg1P-pD2uKIQR--GaGc_t2yU,Petco Américas,+52 33 3630 5907,https://www.petco.com.mx/,4.5,3919,"Av. de las Américas 655, Ladrón de Guevara, Ladron De Guevara, 44670 Guadalajara, Jal., Mexico","20.688869999999998,-103.3743647","Normal Petco, so pretty good. But having to pay for parking at a Petco is a little ridiculous. Be sure to count your change when you pay for parking because the people who work in the parking lot don't even look away from the show they're watching to attend to you, and they give incorrect change. | The only place that have crickets which i need for my chameleon | I got my dog groomed here 3 times. The first experience was the best. They gave him to me as requested. Second time the cut was choppy and not as requested, almost like he was only washed and they snipped his face a little. Third time I asked if the person I was speaking to would also be his groomer. She said yes. I showed her pictures and she took a photo of her own for reference. I come back to get my dog and there is a guy actively grooming him so it wasn’t the same person.

Not only that, he injured my dog. His eyes were closed shut and swollen for a week. I contacted Petco in the US and the actual Guadalajara location. I wanted to know what happened to my dog so I could get treatment for him and I got no information in return. I used medicated drops, ice packs, low lights, a protective head ring (because he was scratching), and many sleepless nights. I had no idea if he poked his eyes or got a chemical in it that would react with what I was using.  It makes no sense to return a pet in this condition.

This was November of 2021, 2 months since the incident. I’ve still heard nothing. I will never return here. They do not respect the owners or our loving pets."
ChIJB0AoJSavKIQRh78FyQnG-C0,La boutique de tu mascota,+52 33 3825 5695,https://www.facebook.com/laboutiquedetumascota1/,4.7,100,"C. Joaquin Angulo 1461, Santa Teresita, 44600 Guadalajara, Jal., Mexico","20.6820912,-103.3684858","They have very nice accessories, as well as sweaters and clothes for my pets 👌❤️🫶 and very good attention and service. | There is a lot of variety but not the same quality as before, good prices | Well-stocked store
Many accessories
Variety of products"
ChIJIZXw2NaxKIQRgGiRoGj0btQ,Pet Planet,+52 33 3827 3940,http://petplanetsadecv.com.mx/,4.5,140,"C. Mexicaltzingo 1686, Col Americana, Americana, 44190 Guadalajara, Jal., Mexico","20.668468999999998,-103.36208649999999","Pet pkanet | They have less and less merchandise. They used to be a good option and I loved stocking my business here, but now I can never find anything. It's time to look for new suppliers. | Excellent service and wholesale prices, thank you very much, they are a very trustworthy winery."
ChIJdx6qavutKIQRkFGRYDECPKI,BICHOS Tienda de Mascotas,+52 33 3344 5545,,3,108,"C. Fresno 1889, Del Fresno, 44909 Guadalajara, Jal., Mexico","20.6567418,-103.3688343","Excellent service.
And they give you every detail about your pet's care. | I don't recommend buying pets from there. Not long ago, I bought a bunny, and we asked the lady if it was okay (its eyes were sore), and she told us everything was fine.
They didn't sell it because it had mites and an infection in its left eye. I honestly don't recommend buying from them because it doesn't feel right for me to sell pets in poor condition.
Now my bunny is somewhat better thanks to the care of the doctor and me. I didn't want to say anything because I've been busy with its treatment. I'm just saying this so it doesn't happen to you.
I hope you can take care of the pets you sell. | Pequeño, pero surtido. No aceptan tarjeta, serviría que hubiera o recomendaran servicios veterinarios."
ChIJrWj7_T2uKIQRpCCCZI7T1_4,Veterinary Hospital Señor Dog´s,+52 33 3342 3239,http://www.srdogs.com.mx/,4.2,494,"Calle Aurelio Luis Gallardo 725 José María Vigil, Av Adolfo López Mateos Nte, Ladron De Guevara, 44650 Guadalajara, Jal., Mexico","20.6904166,-103.3761561","This is a very well established practice that obviously does not need new patients, as they made it very clear to me today. In addition to be severely overpriced (100 dollars for a visual exam that lasted 5 minutes and a certificate), customer service is substandard. Yesterday, a few hours after making an appointment for two of my three pups, I called in the late afternoon to confirm the time (I had not written it down). It turned down that the person who picked up the phone the first time had failed to schedule the appointment, since it wasn’t in their records, so it’s a good thing I called a second time. At that time (nearly the end of the business day) they had plenty of open spots. This is relevant because this morning I detected a very concerning lump on my third pup, that did not have an appointment. I took her with me to the practice, in the hope that, in addition to the exam made to the two that did have an appointment at 10:00am, someone could quickly check the lump to either give me peace of mind, or trigger prompt action. Aaron, the guy at the front desk (the same one that failed to schedule my pups the first time), refused to show any compassion or willingness to help. He did not even bother to see the schedule or make any inquiries with someone of higher authority, to see if there might be a chance to arrange that someone (they have a huge staff) quickly checked the lump.  I was appalled by the double standard and also the absolute lack of interest in helping out an animal  that may have something very serious. Aaron treated me in a condescending and patronizing way, with arrogance and absolute inflexibility that is altogether inconsistent with his own incompetence. Did I mention a staff member saw me arrive with two pups and no free hands to open the door, and passed by with out helping me? Frankly this is no way to treat people. I am only giving them two stars because the technician was competent.   I was looking for a new vet, it certainly will NOT be Dr Dogs. Watch out Mr Dog. You might not need new patients now, but if you go on like this, you might loose them all. | Vet Daniela Caldron save our rescue pup from distemper. They gave him excelent care when he had to be admitted to the overnight unit. They also understand how close we are to our pets and vise versa. They allow you to bring in homemade food if the pet isn't eating and something that smells like you to put in their cage. All this helps your pet get well faster. Or in our case saved his life. | Great team and good doctors!"
ChIJmyefzP6xKIQR9OmzR_aVTZ8,The House of Reptiles,+52 33 1718 1778,http://www.lacasadelosreptiles.com/,4.5,459,"Av. de la Paz 1163-int 107, Zona Centro, 44100 Guadalajara, Jal., Mexico","20.669234400000004,-103.3529815","Always welcome, great prices on crickets, and vast variety of reptiles and insects.

Edit: they have upgraded over the years and now looks much nicer! | They have good care for animals and many accessories for them, kind and responsible, it's warm there inside tho haha | I love that place.  They always have all  my sin  need to feed his reptiles."
