place_id,name,phone,website,rating,review_count,address,coordinates,reviews_preview
ChIJMw5RqQSuKIQRFDNEMKmVwpY,Private Security Sepromex Guadalajara,+52 33 3825 5200,http://www.sepromex.com.mx/,4.3,126,"C. Pedro Moreno 1336, entre Atenas y Calle Emerson, Col Americana, Americana, 44160 Guadalajara, Jal., Mexico","20.6756435,-103.3646516","No | I tried contacting them to request a quote for a service, but they didn't answer. I'm sure there are many better options in their field. | This individual, driving a car with his company's logo, harassed us in the street, swerving his car at us and yelling obscenities. If this is what your staff is like, it's a disgrace to your company."
ChIJI3i6jD2uKIQRcot51MROQEU,Grupo Especializado en Seguridad Privada Dimac,+52 33 3638 2460,http://www.dimacseguridad.com/,4.2,88,"Escuela Militar Aviación 77, Ladrón de Guevara, Lafayette, 44600 Guadalajara, Jal., Mexico","20.6773068,-103.36999770000001","Regular | I don't recommend it. I was unfairly accused of something I didn't do, and the coordinator, instead of investigating properly, treated me quite badly. | Do you have a working phone number? Because the one on the website isn't working."
ChIJH40UNvavKIQRwXCSRF5iVPo,ALFA S Seguridad Privada,+52 33 1656 4673,http://www.alfasseguridadprivada.com.mx/,5,73,"C. Colomos 2133, Ayuntamiento, 44620 Guadalajara, Jal., Mexico","20.691675399999998,-103.3711373","A company that provides security, trust, and service! I highly recommend them; they undoubtedly have the best resources, cutting-edge technology, and a great infrastructure so you and your family can have peace of mind. I would hire their services again; they are definitely the best in the business. | An excellent security company, with highly trained personnel and complete equipment provided by the company, without a doubt the best option to protect your valuables. | I love this company!
Personally, it's one of the best security companies I know, as they have excellent self-defense resources for women.
Affordable and safe 🫶🏻"
ChIJF9EpQsKtKIQRuZX2KI8_l_8,Resguardo Seguridad Privada,+52 33 3810 0081,https://www.resguardoseguridadprivada.com/,3,2,"Calz. del Federalismo Sur 543-Dep.208, Mexicaltzingo, 44180 Guadalajara, Jal., Mexico","20.66846,-103.354706",
ChIJMTwbWVVyswcRyGSH7muobaA,CROW Seguridad Privada,+52 33 1603 2215,https://www.crowseguridad.com/,4.6,11,"C. Salvador López Chávez 1453, Quinta Velarde, 44430 Guadalajara, Jal., Mexico","20.6521415,-103.3340655","Excellent company, very good customer service | Excellent company and service, they are very friendly. | Excellent company, serious and committed to its clients and employees."
ChIJe0nNO9CzKIQR_b-LhcVHn1o,Caracal seguridad privada,+52 33 3151 9053,http://www.caracalseguridad.com.mx/,5,4,"Av. 16 de Septiembre 730-Interior 1406, Centro, 44100 Guadalajara, Jal., Mexico","20.664751100000004,-103.3496591","It seems like a good company, and I go by the star ratings from other people who haven't had any problems."
ChIJKQr-ywuyKIQRT9gUpz89ZZY,Glosser Seguridad Privada,,http://www.glossersp.com/,3.7,45,"Clarín 916, 8 de Julio, 44910 Guadalajara, Jal., Mexico","20.6464924,-103.35563780000001","Like any security company, it has its ups and downs. But overall, it's a good company. | Location near the main avenue but not very visible due to the leafy trees in the area. | Excellent company and good service"
ChIJSSBEe7KxKIQRg44GVBK_5Es,ROK SEGURIDAD PRIVADA,+52 33 2641 4684,http://www.rokseguridad.mx/,5,3,"44180, Mexicaltzingo, 44180 Guadalajara, Jal., Mexico","20.6685595,-103.3546932",
ChIJ66aMzxKuKIQR2lzeWv8vciU,Seguridad Privada y Administración Patrimonial,+52 33 3630 9523,,4,34,"Av. Miguel Hidalgo y Costilla 1994, Ladron De Guevara, 44130 Guadalajara, Jal., Mexico","20.676973999999998,-103.3811568","I would like to ask for information. My brother worked there for 2 years. He lived in Guadalajara, but we lost communication. I don't know where he lived. We are from Guerrero and I don't know what to do. | Good treatment of employees, at least that has been the case in particular. | The best security company in the city"
ChIJVQLbbgWyKIQRGihVj2_ofqo,"Armstrong Armored De Mexico, S.A. De C.V.",+52 33 3110 2036,https://grupoarmstrong.com/armored/,4.1,126,"Av. Circunvalación Agustín Yáñez 200, Ferrocarril, 44440 Guadalajara, Jal., Mexico","20.6556368,-103.3482963","Ok | Every morning, bus unit 1036 uses a double lane to get to the tamales stand at Washington Avenue and July 8th. | They think they own the street, blocking the first lane from early on.
Excellent place to issue traffic tickets starting at 7 a.m."
