place_id,name,phone,website,rating,review_count,address,coordinates,reviews_preview
ChIJtfDwOy350YURz_k9mooIuVw,Rey-kan accesorios para mascotas,,,4.3,596,"Av. 5 de Mayo 40-letra g, Centro Histórico de la Cdad. de México, área 2, Cuauhtémoc, 06010 Ciudad de México, CDMX, Mexico","19.4344111,-99.1364057","A little bit expensive but there are many clothes models for all size cats and dogs, casual, customs, formal, coats, beds, etc. | Adorable, reasonably priced pet clothing. | Little pet shop for accessories. I don’t buy so much here but at least they saved me a couple of times with my cats litter sand. A little bit pricey."
ChIJAQDUE8n-0YUROim73JymO7Y,Accesorios Para Mascotas,+52 55 5522 3996,,4.4,589,"Plaza de San Pablo 36, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","19.425985,-99.1273762","Cheap  and amazing clothing for dog's. Dogs and cats accessories. Cat litter. Cheap prices. | Super | Excellent selection of pet accessories at affordable prices. Friendly service. I wish they could expand their store as it's a bit cramped, but definitely worth a visit."
ChIJoRWNfwD_0YURQri5Oa-K0jk,Accesorios para Mascotas,,,1,1,"República de El Salvador 193, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico","19.4282456,-99.1267987","It indicates that it's open, but not"
ChIJlWNIK0j50YURBZQdbXrb0Es,PARK PET MASCOTA,+52 56 3006 2149,http://parkpetmascota.com/?utm_source=gmb&utm_medium=referral,3,10,"Calle Apartado 27-Loc.01, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","19.4400132,-99.1298558","This place is excellent, super well stocked, a little hidden in the whole market but I liked it. | Very well-stocked and everything is beautiful. The owner is very friendly. The employees don't provide good service and do so reluctantly. The owner should make sure they are more courteous to customers. | A good selection of all kinds of pet supplies, especially for dogs and cats. The only downside is the service from the staff, who generally seem a bit reluctant. Other than that, you'll find some good stuff. The important thing is to go, shop, and then see you later."
ChIJrXNfNYL_0YURp1AXvoUBSFk,Celtok Suc Isabel La Católica,+52 56 1502 9596,http://celtok.com/,4.4,271,"Isabel La Católica 130,PB006, Centro, Cuauhtémoc, 06080 Ciudad de México, CDMX, Mexico","19.425073400000002,-99.13739079999999","Variety of items for small sizes, I found a coat that covers my baby's bottom very well and he liked it a lot. | I've visited several times and I like their pet carriers and leashes. They have a wide variety of toys, leashes, collars, carriers, clothing, bowls, beds, pet carriers, treats for both dogs and cats, and various accessories. The quality is good for the price, and they offer discounts on certain days. | I think it's a very good option in terms of price, as they are affordable and have several things you might like. I just think they should keep the branches well-stocked, as there isn't much variety in some items, either in models or colors. But overall, I liked it, and the staff is super friendly and attentive. I highly recommend it, plus they have good deals."
ChIJvVD6A5f-0YURUP2VQbpPqwg,Mercado de Peces Mixhuca,,,4.3,37126,"Río Frío 261, Magdalena Mixihuca, Venustiano Carranza, 15850 Ciudad de México, CDMX, Mexico","19.4073831,-99.1148188",Lots of mexicans are scared to debate my topic👉🏿 male faaarleft🔵 3spot blue gourami beats your fish the  male gop/republican🚩 firemouth cichlid. Reply | Love coming here for all my bearded dragon needs!! Lots of options in regards to food and decorations. | Not for gingos 😂. Local's market. But good deals.
ChIJy4iWPtr_0YURUu9qtwJPqS8,Celtok,+52 55 6415 1966,http://www.celtok.com/,4.3,315,"José María Izazaga 89-piso8,local 843B, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","19.4259243,-99.13651019999999","It's a complete store, Celtok has diversity. | You'll find everything at a great price. There's a wide variety of products for your pets, especially for dogs and cats. The staff is super friendly, all willing to help and provide information about their products.
The prices on the yellow sticker are the final price, and some of the prices on the white sticker have a 50% discount.
The store is well worth a visit; I found products that cost twice as much elsewhere. | Thank you so much for your response. I ordered 5 items, but you mistakenly sent me a completely different set. Although I must admit I struggled a bit, you finally sent me the 5 items I originally ordered at no extra charge. I will definitely continue shopping with you. Thank you so much!"
ChIJdf28PBT50YURwAuMPwbFOG8,Cantina La Mascota,+52 55 5521 0910,,4.3,233,"Dolores 20, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico","19.4329225,-99.14289219999999","This place is absolutely fantastic! The food and service were phenomenal. I had the chamorro and it was absolutely falling apart and delicious, the beams and guacamole that came with it were great too, now the roasted garlic escabeche had something about it that just made the whole meal perfect! An absolute treat! If you're in CDMX it's a must! Great spot! | The waiter was very helpful with our order and gave excellent recommendations. I highly suggest trying the cabrito al horno espaldilla (roasted goat) paired with a michelada. The ambience is 10/10—authentic, unpretentious, and untouched by forced modernity. | Authentic Mexican bar. Saw this on somebody feed Phil. Loved the experience. Went for an afternoon beer. It’s so raw and unassuming but that’s exactly what you’d want from a place like this"
ChIJb69nnjT50YURpivnSGdiYHI,COMERCIALIZADORA DUO Soledad 31,+52 55 5522 2024,http://www.chduo.com/,3.9,9,"Soledad 31, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","19.432299099999998,-99.1277794","Very few things for dogs, which is supposedly what they specialize in. | They have very good prices and the service they provide is excellent, so far I have no complaints about their customer service. | The service is wonderful. They always provided me with the necessary attention to solve my purchase and satisfy my needs. I highly recommend it."
ChIJByj5Mkn50YUR0zNNIfSOdBM,"Mercado Morelos, de peces y mascotas",,,4.4,3905,"Jardineros 82-78, Morelos, Venustiano Carranza, 15270 Ciudad de México, CDMX, Mexico","19.4423191,-99.11826479999999","Well, not for everyone. But if you fall in the category, then prepare to enjoy the best prices in the city related to pet care.  A lot of products with quality and support. It's a must if you happen to have more than one furry fellow friend. | Always is a good experience, cause there are bunch of friendly people helping out. | There's so many pet toys to choose at very chip prices you'll never found anywhere..highly recommended to get lot of stuff for little..money"
