place_id,name,phone,website,rating,review_count,address,coordinates,reviews_preview
ChIJj1cTmiUD0oUR2BVxZhjY9cw,GSM Seguridad Privada CDMX,+52 55 5770 3077,http://www.gsmseguridad.com.mx/,4,89,"Lorenzo Boturini 14-Piso 1, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX, Mexico","19.4188904,-99.14270049999999","Ok | An excellent private security company, its staff is constantly trained, ensuring high-quality service. They respond promptly to service requests and fully perform their security and custody duties. They excel in access control and video surveillance. | Very good company, if I were to work with them again I would do so without hesitation, payments were on time and in full."
ChIJVaAJ0Tr70YUR_b8Ax8iGR50,IICEEC SEGURIDAD PRIVADA,+52 55 4399 6255,https://iiceec6.webnode.mx/,5,1,"Mercado 28, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico","19.449910799999998,-99.1397551",
ChIJQeZCXCxg2g8R5hL9mc2BH5I,Trayecto y Visión (Seguridad Privada),+52 56 1301 3265,,4.7,3,"Calz. Vallejo 122-Torre B, San Simón Tolnahuac, Cuauhtémoc, 06920 Ciudad de México, CDMX, Mexico","19.460165699999997,-99.1405029","Excellent security company offering on-site security, on-board security, and in-car security services. They also handle logistics. Congratulations! | Good security service"
ChIJ-XTvqir_0YURq4XL1ZbXghc,Nasep Seguridad Privada Integral,+52 55 5521 6890,,5,1,"C. Artículo 123 97, Colonia Centro, Centro, Cuauhtémoc, 06050 Centro, CDMX, Mexico","19.432104499999998,-99.1414167",
ChIJ3zirT8740YURdH1TxNVzyBs,SEPSISA SEGURIDAD PRIVADA,+52 55 5662 6039,https://www.sepsisa.com.mx/,2.9,196,"Serapio Rendón 8, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico","19.4404108,-99.15850569999999","Super | They treat you poorly and reluctantly, they offer you a vacancy that doesn't exist when you arrive, the so-called doctor is very despotic and they want you to sign a promissory note. | Poor training, their drivers don't know how to drive, they almost hit a motorcycle because they didn't want to wait."
ChIJgXugSi350YURyitnVv2tPfQ,SP Proseguir Seguridad Privada,+52 56 1429 5914,https://proteccioncreativa.co/,4.8,11,"C. Artículo 123, Colonia Centro, Centro, Cuauhtémoc, 06050 Ciudad de México, CDMX, Mexico","19.4330334,-99.14750699999999",The service has many qualified professionals to perform the service you require.
ChIJO6DuBBb_0YURGE-0E9HhoPA,Impacto Total Seguridad Privada,+52 55 4026 7194,https://www.impactototal.mx/index.html,3.7,202,"Monterrey 317, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico","19.407014099999998,-99.16160719999999","The company is good from management up. The problem is in operations. | I called and I didn't even let Noe finish speaking and the lady hung up on me, for that it's better to swim | Very friendly staff provide clear and concise information about vacancies."
ChIJVVU5WTH_0YURwMoL82AVq_M,Seguridad GC (Empresa de Seguridad Privada),+52 55 5368 6501,http://www.seguridadgc.com/,4,132,"Liverpool 96, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico","19.4254814,-99.1613691","Great company, excellent professionalism, variety of courses, punctual payments, from 2 am onwards, 15 or 30 paydays, punctual on weekends. They pay early, everything is fine. I've been working for over a year and a half now without any issues. Excellent company, I currently have no legal problems, highly recommended. | It's a company where commitment and responsibility are evident, as well as the humane and high-quality treatment of its staff. This entails a good principle: to be on good terms with external customers, let's first take care of internal customers, demonstrating and reflecting a conduct of healthy collaboration and respect. Its staff is undoubtedly very attentive and friendly, focused on customer service, something few security companies focus on in their staff to perform their duties efficiently; they generally lean more toward effectiveness. Very good references about the company in general, both internally and externally. | The service is terrible, if you can even call it that. They don't have enough controls, they let everyone in without any restrictions, the security guards sleep on their shifts, and the attitude of the company representative is appalling, as she arbitrarily cancels the service from one day to the next, disregarding the fact that the contract stipulates 30 days' notice."
ChIJ3cjE3X0CzoURSuZ8Llkwgcg,Tienda de Seguridad -DIMERA,+52 55 7703 7016,,5,1,"República de El Salvador 80B, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","19.429706,-99.135671",Thank you for your excellent work and responsibility.
ChIJMeRsYLz_0YURQ1F7M32FxNw,GSI SEGURIDAD PRIVADA S.A de C.V,+52 55 8580 1088,https://gsiseguridad.com.mx/,4.1,44,"Chimalpopoca 1, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX, Mexico","19.4219486,-99.1428031","It's a good company, but its office staff doesn't know how to treat you and they don't explain things as they are and they want to confuse you so they don't tell you the truth and you have to wait a long time. | Almost all of them are very friendly, but those from human resources are very abrupt and take a long time to provide a document, and they are also very unorganized. | Good morning, could someone help me contact the offices?"
